Difficulty,Question Type,Question,Options,Answer,Explanation
Easy,MCQ,What is the structural and functional unit of the nervous system?,(a) Neuron,(a) Neuron,Neurons are specialized cells responsible for transmitting nerve impulses.
,,,(b) Brain,,
,,,(c) Spinal cord,,
,,,(d) Axon,,
Easy,Fill-in-the-blank,The gap between two neurons is called a ______.,-,Synapse,A synapse allows the transmission of signals between neurons.
Easy,True/False,Reflex actions are voluntary actions controlled by the brain.,TRUE,FALSE,Reflex actions are involuntary and controlled by the spinal cord.
,,,FALSE,,
Easy,MCQ,Which hormone is responsible for regulating blood sugar levels in the body?,(a) Thyroxine,(b) Insulin,Insulin helps lower blood sugar levels by promoting glucose uptake by cells.
,,,(b) Insulin,,
,,,(c) Adrenaline,,
,,,(d) Glucagon,,
Easy,Fill-in-the-blank,The part of the brain responsible for maintaining posture and balance is the ______.,-,Cerebellum,"The cerebellum controls coordination, posture, and balance."
Easy,Match the Following,Match the endocrine glands with the hormones they secrete.,1) Pancreas → (a) Insulin,"1 → (a), 2 → (b)","The pancreas secretes insulin, and the thyroid gland secretes thyroxine."
,,,2) Thyroid → (b) Thyroxine,,
Easy,MCQ,What is the function of the medulla oblongata?,(a) Thinking,(b) Control involuntary actions,The medulla oblongata controls involuntary functions like breathing and heartbeat.
,,,(b) Control involuntary actions,,
,,,(c) Memory,,
,,,(d) Vision,,
Easy,Fill-in-the-blank,The chemical substances that act as messengers in the body are called ______.,-,Hormones,Hormones regulate physiological processes and act as chemical messengers.
Easy,True/False,Phototropism is the movement of a plant part in response to light.,TRUE,TRUE,Phototropism involves the growth of plant parts toward light.
,,,FALSE,,
Easy,MCQ,Which part of the brain is responsible for intelligence and reasoning?,(a) Cerebrum,(a) Cerebrum,The cerebrum is responsible for higher-order functions like reasoning and memory.
,,,(b) Cerebellum,,
,,,(c) Medulla,,
,,,(d) Spinal cord,,
Easy,Fill-in-the-blank,The movement of plant roots towards water is called ______.,-,Hydrotropism,"Hydrotropism is a response to water, where roots grow towards the water source."
Easy,Match the Following,Match the plant hormones with their functions.,1) Auxin → (a) Cell elongation,"1 → (a), 2 → (b)","Auxins promote elongation, and cytokinins promote cell division."
,,,2) Cytokinin → (b) Cell division,,
Easy,MCQ,"Which hormone is known as the ""fight or flight"" hormone?",(a) Insulin,(c) Adrenaline,Adrenaline prepares the body for stressful situations.
,,,(b) Thyroxine,,
,,,(c) Adrenaline,,
,,,(d) Estrogen,,
Easy,Fill-in-the-blank,The central nervous system consists of the brain and ______.,-,Spinal cord,The spinal cord and brain form the central nervous system (CNS).
