Difficulty,Question Type,Question,Options,Answer,Explanation
Easy,MCQ,Who is known as the Father of Genetics?,(a) Darwin,(b) Mendel,Gregor Mendel conducted experiments on pea plants to discover the principles of heredity.
,,,(b) Mendel,,
,,,(c) Lamarck,,
,,,(d) Watson,,
Easy,Fill-in-the-blank,The unit of heredity is the ______.,-,Gene,Genes are segments of DNA that carry hereditary information.
Easy,True/False,Traits that are inherited are passed from one generation to another.,TRUE,TRUE,Inherited traits are passed down from parents to offspring through genes.
,,,FALSE,,
Easy,MCQ,What is the shape of DNA?,(a) Double helix,(a) Double helix,"DNA has a double-helix structure, as discovered by Watson and Crick."
,,,(b) Triple helix,,
,,,(c) Linear,,
,,,(d) Circular,,
Easy,Fill-in-the-blank,The physical expression of a trait is called a ______.,-,Phenotype,Phenotype refers to the observable characteristics of an organism.
Easy,Match the Following,Match the scientists with their contributions.,1) Darwin → (a) Theory of evolution,"1 → (a), 2 → (b)","Darwin proposed the theory of evolution, and Mendel discovered the laws of inheritance."
,,,2) Mendel → (b) Laws of inheritance,,
Easy,MCQ,Which type of reproduction results in offspring that are genetically identical to the parent?,(a) Sexual reproduction,(b) Asexual reproduction,Asexual reproduction produces clones of the parent organism.
,,,(b) Asexual reproduction,,
,,,(c) Cross-pollination,,
,,,(d) Mutation,,
Easy,Fill-in-the-blank,The variations in traits that can be inherited are caused by changes in ______.,-,DNA,DNA variations lead to inheritable changes in traits.
Easy,True/False,All mutations in DNA result in harmful effects.,TRUE,FALSE,Not all mutations are harmful; some are neutral or beneficial.
,,,FALSE,,
Easy,MCQ,Which of the following traits is controlled by a single gene?,(a) Skin color,(b) Blood group,Blood group is controlled by a single gene with multiple alleles.
,,,(b) Blood group,,
,,,(c) Height,,
,,,(d) Hair color,,
Easy,Fill-in-the-blank,Evolution is the process of ______ over generations.,-,Gradual change,Evolution involves the gradual change in organisms over many generations.
Easy,Match the Following,Match the types of traits with examples.,1) Inherited → (a) Eye color,"1 → (a), 2 → (b)","Inherited traits are genetic, while acquired traits are developed during an organism’s lifetime."
,,,2) Acquired → (b) Muscular body,,
Easy,MCQ,What are chromosomes made of?,(a) Proteins,(c) DNA and proteins,Chromosomes are composed of DNA and histone proteins.
,,,(b) Lipids,,
,,,(c) DNA and proteins,,
,,,(d) Carbohydrates,,
Easy,Fill-in-the-blank,The cross between two individuals to study inheritance is called a ______.,-,Genetic cross,A genetic cross involves breeding two individuals to study inheritance patterns.
Easy,True/False,Natural selection favors traits that increase an organism’s chances of survival.,TRUE,TRUE,Natural selection ensures that advantageous traits become more common in a population.
,,,FALSE,,
Easy,MCQ,What is the purpose of fossils in studying evolution?,(a) To prove spontaneous generation,(b) To provide evidence of past life,Fossils provide evidence of extinct species and evolutionary changes over time.
,,,(b) To provide evidence of past life,,
,,,(c) To create new organisms,,
,,,(d) To determine DNA sequences,,
Easy,Fill-in-the-blank,The alternative forms of a gene are called ______.,-,Alleles,Alleles are different forms of a gene that code for variations in a trait.
Easy,Match the Following,Match the types of selection with their effects.,1) Natural selection → (a) Survival advantage,"1 → (a), 2 → (b)","Natural selection enhances survival, while artificial selection focuses on desired traits."
,,,2) Artificial selection → (b) Desired traits,,
Easy,MCQ,Which of the following is an acquired trait?,(a) Hair color,(b) Scar,"Acquired traits, like scars, are not inherited but develop during an organism’s lifetime."
,,,(b) Scar,,
,,,(c) Blood group,,
,,,(d) Eye shape,,
Easy,Fill-in-the-blank,The process by which new species arise is called ______.,-,Speciation,Speciation occurs when populations of a species become reproductively isolated and evolve differently.
Easy,True/False,Homologous organs indicate common ancestry.,TRUE,TRUE,"Homologous organs have similar structures but may have different functions, indicating common ancestry."
,,,FALSE,,
Easy,MCQ,Which gas was absent in the early Earth’s atmosphere?,(a) Oxygen,(a) Oxygen,"Oxygen was absent in the early Earth’s atmosphere, which was dominated by methane and ammonia."
,,,(b) Carbon dioxide,,
,,,(c) Methane,,
,,,(d) Ammonia,,
Easy,Fill-in-the-blank,The human blood group system is an example of ______ inheritance.,-,Multiple allele,Blood groups are determined by the interaction of multiple alleles of a single gene.
Easy,True/False,Analogous organs perform similar functions but have different structures.,TRUE,TRUE,"Analogous organs, like bird and insect wings, perform the same function but have different structures."
,,,FALSE,,
Easy,MCQ,Who proposed the theory of natural selection?,(a) Mendel,(c) Darwin,Charles Darwin proposed the theory of natural selection as a mechanism for evolution.
,,,(b) Lamarck,,
,,,(c) Darwin,,
,,,(d) Watson,,
Medium,MCQ,What do the contrasting traits in Mendel's pea plant experiment represent?,(a) Alleles,(a) Alleles,Contrasting traits represent different alleles of a gene.
,,,(b) Genes,,
,,,(c) Chromosomes,,
,,,(d) Phenotypes,,
