Difficulty,Question Type,Question,Options,Answer,Explanation
Easy,MCQ,What is the primary purpose of reproduction in organisms?,(a) Growth,(c) Continuity of species,Reproduction ensures the survival and continuity of species.
,,,(b) Survival,,
,,,(c) Continuity of species,,
,,,(d) Defense,,
Easy,Fill-in-the-blank,The type of reproduction that requires only one parent is called ______.,-,Asexual reproduction,Asexual reproduction involves a single parent without gametes.
Easy,True/False,Binary fission is an example of asexual reproduction.,TRUE,TRUE,Binary fission is a type of asexual reproduction seen in organisms like bacteria.
,,,FALSE,,
Easy,MCQ,Which organism reproduces through budding?,(a) Yeast,(d) Hydra,"Hydra reproduces by budding, where a new organism grows as a bud on the parent body."
,,,(b) Amoeba,,
,,,(c) Paramecium,,
,,,(d) Hydra,,
Easy,Fill-in-the-blank,______ is the process of fusion of male and female gametes.,-,Fertilization,Fertilization combines male and female gametes to form a zygote.
Easy,Match the Following,Match the modes of reproduction with examples.,1) Binary fission → (a) Amoeba,"1 → (a), 2 → (b)","Amoeba reproduces by binary fission, and Hydra by budding."
,,,2) Budding → (b) Hydra,,
Easy,MCQ,What is the function of the testes in humans?,(a) Produce sperm,(a) Produce sperm,Testes produce sperm and male hormones like testosterone.
,,,(b) Produce ovum,,
,,,(c) Transport food,,
,,,(d) Remove waste,,
Easy,Fill-in-the-blank,"In plants, the process of transferring pollen grains from anther to stigma is called ______.",-,Pollination,Pollination enables fertilization in flowering plants.
Easy,True/False,Vegetative propagation occurs only in plants.,TRUE,TRUE,Vegetative propagation is a type of asexual reproduction seen in plants.
,,,FALSE,,
Easy,MCQ,Which part of the flower develops into fruit after fertilization?,(a) Petals,(b) Ovary,The ovary matures into a fruit after fertilization.
,,,(b) Ovary,,
,,,(c) Anther,,
,,,(d) Pollen grain,,
Easy,Fill-in-the-blank,The offspring produced through sexual reproduction are genetically ______.,-,Different,Sexual reproduction results in genetic variation due to recombination.
Easy,Match the Following,Match the male and female reproductive parts of a flower.,1) Stamen → (a) Male,"1 → (a), 2 → (b)","The stamen is the male part, and the carpel is the female part of a flower."
,,,2) Carpel → (b) Female,,
Easy,MCQ,What is the function of the ovary in the human female reproductive system?,(a) Produce sperm,(b) Produce eggs,The ovary produces eggs and female hormones like estrogen.
,,,(b) Produce eggs,,
,,,(c) Transport food,,
,,,(d) Store urine,,
Easy,Fill-in-the-blank,Spirogyra reproduces by the process of ______.,-,Fragmentation,"In Spirogyra, reproduction occurs through fragmentation, where filaments break into smaller pieces."
Easy,True/False,Fertilization in humans occurs in the uterus.,TRUE,FALSE,Fertilization occurs in the fallopian tubes in humans.
,,,FALSE,,
Easy,MCQ,Which type of reproduction produces clones of the parent?,(a) Asexual reproduction,(a) Asexual reproduction,Asexual reproduction produces identical offspring called clones.
,,,(b) Sexual reproduction,,
,,,(c) Vegetative propagation,,
,,,(d) Pollination,,
Easy,Fill-in-the-blank,The female reproductive organ in flowers is called ______.,-,Carpel,The carpel is the female reproductive structure in flowers.
Easy,Match the Following,Match the types of pollination with their characteristics.,1) Self-pollination → (a) Same flower,"1 → (a), 2 → (b)",Self-pollination occurs within the same flower; cross-pollination occurs between different flowers.
,,,2) Cross-pollination → (b) Different flower,,
Easy,MCQ,Which of the following is an artificial method of vegetative propagation?,(a) Grafting,(a) Grafting,Grafting is an artificial method used in horticulture.
,,,(b) Budding,,
,,,(c) Spore formation,,
,,,(d) Binary fission,,
Easy,Fill-in-the-blank,The process of producing seeds without fertilization is called ______.,-,Apomixis,Apomixis occurs in some plants where seeds are formed without fertilization.
Easy,True/False,Gametes are haploid cells in both plants and animals.,TRUE,TRUE,Gametes have half the number of chromosomes as the parent organism.
,,,FALSE,,
Easy,MCQ,What is the function of the fallopian tubes in humans?,(a) Produce eggs,(b) Transport eggs,Fallopian tubes transport eggs and are the site of fertilization.
,,,(b) Transport eggs,,
,,,(c) Implant embryo,,
,,,(d) Store sperm,,
Easy,Fill-in-the-blank,Fertilized eggs develop into an embryo by the process of ______.,-,Cell division,Cell division leads to the formation of an embryo.
Easy,True/False,Sexual reproduction involves the fusion of two gametes.,TRUE,TRUE,Sexual reproduction requires the fusion of male and female gametes.
,,,FALSE,,
Easy,MCQ,Which reproductive structure is found in male humans?,(a) Uterus,(b) Testes,The testes produce sperm in the male reproductive system.
,,,(b) Testes,,
,,,(c) Ovary,,
,,,(d) Stigma,,
Medium,MCQ,Which part of a flower develops into seeds after fertilization?,(a) Ovary,(b) Ovule,The ovule becomes the seed after fertilization.
,,,(b) Ovule,,
,,,(c) Pollen grain,,
,,,(d) Anther,,
Medium,Fill-in-the-blank,The process of producing multiple identical offspring from a single parent is called ______.,-,Cloning,Cloning creates genetically identical copies of an organism.
Medium,True/False,Sexual reproduction creates genetic variation among offspring.,TRUE,TRUE,"Sexual reproduction involves recombination of genes, leading to variation."
,,,FALSE,,
Medium,MCQ,Which type of reproduction involves gametes?,(a) Asexual,(b) Sexual,Sexual reproduction requires the fusion of male and female gametes.
,,,(b) Sexual,,
,,,(c) Binary fission,,
,,,(d) Fragmentation,,
Medium,Fill-in-the-blank,Pollen grains are produced in the ______ of a flower.,-,Anther,The anther is the male reproductive part of the flower where pollen grains are produced.
Medium,Match the Following,Match the types of reproduction with their examples.,1) Fragmentation → (a) Spirogyra,"1 → (a), 2 → (b)","Spirogyra reproduces by fragmentation, and Hydra by budding."
