Difficulty,Question Type,Question,Options,Answer,Explanation
Easy,MCQ,What is the primary site of photosynthesis in plants?,(a) Stem,(b) Chloroplast,"Photosynthesis occurs in chloroplasts, where chlorophyll is present."
,,,(b) Chloroplast,,
,,,(c) Roots,,
,,,(d) Flowers,,
Easy,Fill-in-the-blank,The process by which plants lose water vapor through stomata is called ______.,-,Transpiration,Transpiration helps in the upward movement of water in plants.
Easy,True/False,Plants produce their own food through autotrophic nutrition.,TRUE,TRUE,"Plants synthesize food via photosynthesis, making them autotrophs."
,,,FALSE,,
Easy,MCQ,What is the primary source of energy for living organisms?,(a) Water,(b) Sunlight,Sunlight provides the energy required for photosynthesis.
,,,(b) Sunlight,,
,,,(c) Oxygen,,
,,,(d) Glucose,,
Easy,Fill-in-the-blank,______ is the functional unit of the kidney.,-,Nephron,Nephrons filter blood and form urine.
Easy,Match the Following,Match the parts of the digestive system with their functions.,1) Stomach → (a) Protein digestion,"1 → (a), 2 → (b)","Stomach breaks down proteins, and nutrients are absorbed in the small intestine."
,,,2) Small intestine → (b) Nutrient absorption,,
Easy,MCQ,Which blood vessel carries oxygenated blood?,(a) Vein,(b) Artery,Arteries transport oxygenated blood from the heart to other parts of the body.
,,,(b) Artery,,
,,,(c) Capillary,,
,,,(d) Lymph,,
Easy,Fill-in-the-blank,The breakdown of glucose to release energy is called ______.,-,Respiration,"Respiration breaks down glucose to produce ATP, the energy currency of cells."
Easy,True/False,Oxygen is a by-product of photosynthesis.,TRUE,TRUE,Plants release oxygen during the light-dependent reactions of photosynthesis.
,,,FALSE,,
Easy,MCQ,Which process in plants converts light energy into chemical energy?,(a) Transpiration,(c) Photosynthesis,Photosynthesis synthesizes glucose using sunlight.
,,,(b) Respiration,,
,,,(c) Photosynthesis,,
,,,(d) Excretion,,
Easy,Fill-in-the-blank,The process of removing waste products from the body is called ______.,-,Excretion,Excretion removes metabolic waste such as urea and carbon dioxide.
Easy,Match the Following,Match the respiratory structures with their functions.,1) Alveoli → (a) Gas exchange,"1 → (a), 2 → (b)","Alveoli allow gas exchange, and the diaphragm regulates breathing."
,,,2) Diaphragm → (b) Breathing control,,
Easy,MCQ,What is the waste product of anaerobic respiration in humans?,(a) Carbon dioxide,(b) Lactic acid,Lactic acid is produced during anaerobic respiration in muscles.
,,,(b) Lactic acid,,
,,,(c) Oxygen,,
,,,(d) Glucose,,
Easy,Fill-in-the-blank,The green pigment responsible for photosynthesis is ______.,-,Chlorophyll,Chlorophyll absorbs light energy required for photosynthesis.
Easy,True/False,Arteries have thicker walls than veins to withstand high pressure.,TRUE,TRUE,Arteries carry blood under higher pressure compared to veins.
,,,FALSE,,
Easy,MCQ,Which organ stores bile produced by the liver?,(a) Gallbladder,(a) Gallbladder,"The gallbladder stores bile, which helps in the emulsification of fats."
,,,(b) Pancreas,,
,,,(c) Kidney,,
,,,(d) Stomach,,
Easy,Fill-in-the-blank,The functional unit of the nervous system is the ______.,-,Neuron,Neurons transmit signals throughout the body.
Easy,True/False,The left ventricle pumps oxygenated blood to the rest of the body.,TRUE,TRUE,The left ventricle pumps blood to the entire body via the aorta.
,,,FALSE,,
Easy,MCQ,What is the main function of hemoglobin in the blood?,(a) Transport carbon dioxide,(b) Transport oxygen,Hemoglobin binds oxygen and transports it to cells.
,,,(b) Transport oxygen,,
,,,(c) Fight infections,,
,,,(d) Digest food,,
Easy,Fill-in-the-blank,The process of converting nitrogen gas into usable compounds is called ______.,-,Nitrogen fixation,Nitrogen fixation converts atmospheric nitrogen into ammonia or other compounds usable by plants.
Easy,Match the Following,Match the plant tissues with their functions.,1) Xylem → (a) Water transport,"1 → (a), 2 → (b)","Xylem transports water, and phloem transports food in plants."
,,,2) Phloem → (b) Food transport,,
Easy,MCQ,What is the role of guard cells in plants?,(a) Protect roots,(b) Control stomatal opening,Guard cells regulate gas exchange and transpiration by controlling stomata.
,,,(b) Control stomatal opening,,
,,,(c) Transport nutrients,,
,,,(d) Absorb water,,
Easy,Fill-in-the-blank,The waste product of photosynthesis is ______.,-,Oxygen,Oxygen is released as a by-product during the light reactions of photosynthesis.
Easy,True/False,The diaphragm is a muscle involved in the process of breathing.,TRUE,TRUE,The diaphragm contracts and relaxes to facilitate inhalation and exhalation.
,,,FALSE,,
Easy,MCQ,Which vessels carry blood back to the heart?,(a) Arteries,(b) Veins,Veins return deoxygenated blood to the heart.
,,,(b) Veins,,
