Difficulty,Question Type,Question,Options,Answer,Explanation
Easy,MCQ,What is the ultimate source of energy for life on Earth?,(a) Water,(b) Sun,The Sun provides energy that drives life processes and ecosystems.
,,,(b) Sun,,
,,,(c) Plants,,
,,,(d) Oxygen,,
Easy,Fill-in-the-blank,The non-living components of an ecosystem are called ______.,-,Abiotic factors,"Abiotic factors include water, sunlight, air, and soil."
Easy,True/False,Food chains always begin with a producer.,TRUE,TRUE,Producers (plants) make their own food and form the base of food chains.
,,,FALSE,,
Easy,MCQ,Which group of organisms are primary consumers in a food chain?,(a) Herbivores,(a) Herbivores,"Herbivores feed directly on plants, making them primary consumers."
,,,(b) Carnivores,,
,,,(c) Decomposers,,
,,,(d) Producers,,
Easy,Fill-in-the-blank,The process of breaking down organic waste into simpler substances is carried out by ______.,-,Decomposers,Decomposers like fungi and bacteria break down organic matter.
Easy,Match the Following,Match the organisms with their roles in the ecosystem.,1) Plants → (a) Producers,"1 → (a), 2 → (b)","Plants are producers, and fungi are decomposers."
,,,2) Fungi → (b) Decomposers,,
Easy,MCQ,What is the role of decomposers in an ecosystem?,(a) Produce energy,(b) Recycle nutrients,Decomposers recycle nutrients by breaking down dead matter.
,,,(b) Recycle nutrients,,
,,,(c) Consume herbivores,,
,,,(d) Reduce sunlight,,
Easy,Fill-in-the-blank,A linear sequence of organisms through which energy flows is called a ______.,-,Food chain,A food chain shows the flow of energy through trophic levels.
Easy,True/False,Carnivores are always at the top of a food chain.,TRUE,FALSE,"Carnivores can occupy different levels, depending on the ecosystem."
,,,FALSE,,
Easy,MCQ,Which of the following is a greenhouse gas?,(a) Oxygen,(b) Carbon dioxide,"Carbon dioxide traps heat in the atmosphere, contributing to the greenhouse effect."
,,,(b) Carbon dioxide,,
,,,(c) Nitrogen,,
,,,(d) Hydrogen,,
Easy,Fill-in-the-blank,The ______ represents all living organisms in a particular area.,-,Biotic component,The biotic component includes all living organisms in an ecosystem.
Easy,Match the Following,Match the types of ecosystems with examples.,1) Aquatic → (a) Pond,"1 → (a), 2 → (b)","Aquatic ecosystems include ponds, while forests are terrestrial ecosystems."
,,,2) Terrestrial → (b) Forest,,
Easy,MCQ,What happens to energy as it flows through a food chain?,(a) Increases,(b) Decreases,Energy decreases as it flows through trophic levels due to energy loss as heat.
,,,(b) Decreases,,
,,,(c) Remains constant,,
,,,(d) Doubles,,
Easy,Fill-in-the-blank,The removal of trees from a forest is called ______.,-,Deforestation,Deforestation refers to the clearing of forests for agriculture or development.
Easy,True/False,An ecosystem includes both living and non-living components.,TRUE,TRUE,An ecosystem is made up of living (biotic) and non-living (abiotic) components.
,,,FALSE,,
Easy,MCQ,Which of the following is a natural ecosystem?,(a) Aquarium,(c) Grassland,Grasslands occur naturally without human intervention.
,,,(b) Zoo,,
,,,(c) Grassland,,
,,,(d) Garden,,
Easy,Fill-in-the-blank,The flow of energy in an ecosystem is ______-directional.,-,Uni-directional,Energy flows in a single direction from producers to consumers.
Easy,Match the Following,Match the levels of consumers with examples.,1) Primary consumers → (a) Herbivores,"1 → (a), 2 → (b)","Herbivores are primary consumers, and carnivores are secondary consumers."
,,,2) Secondary consumers → (b) Carnivores,,
Easy,MCQ,Which of the following shows the correct order of a food chain?,(a) Producer → Carnivore → Herbivore,(c) Producer → Herbivore → Carnivore,"Producers provide energy to herbivores, which are then consumed by carnivores."
,,,(b) Carnivore → Producer → Herbivore,,
,,,(c) Producer → Herbivore → Carnivore,,
,,,(d) Herbivore → Carnivore → Producer,,
Easy,Fill-in-the-blank,The ______ is the part of the Earth where life exists.,-,Biosphere,"The biosphere includes all regions where life exists, including land, water, and air."
Easy,True/False,Ozone depletion is caused by excessive use of CFCs.,TRUE,TRUE,"Chlorofluorocarbons (CFCs) destroy the ozone layer, allowing harmful UV rays to reach Earth."
,,,FALSE,,
Easy,MCQ,Which process removes carbon dioxide from the atmosphere?,(a) Respiration,(b) Photosynthesis,Photosynthesis removes carbon dioxide and produces oxygen.
,,,(b) Photosynthesis,,
,,,(c) Combustion,,
,,,(d) Decomposition,,
Easy,Fill-in-the-blank,The energy available at each trophic level in an ecosystem is represented by an ______.,-,Energy pyramid,Energy pyramids show the energy available at each trophic level.
